theory_id,paper_url,paper_name,paper_year
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10652502/,"Diabetic microvascular disease in non-classical beds: the hidden impact beyond the retina, the kidney, and the peripheral nerves",2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10652587/,Microvesicles-hydrogel breaks the cycle of cellular senescence by improving mitochondrial function to treat osteoarthritis,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10654458/,The Role of mRNA Quality Control in the Aging of Caenorhabditis elegans,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10655607/,The Role of Traditional Chinese Medicine Natural Products in β-Amyloid Deposition and Tau Protein Hyperphosphorylation in Alzheimer’s Disease,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10656444/,GDF11 slows excitatory neuronal senescence and brain ageing by repressing p21,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10658171/,Hypoxia-induced signaling in the cardiovascular system: pathogenesis and therapeutic targets,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10658738/,Does the ketogenic diet improve neurological disorders by influencing gut microbiota? A systematic review,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10659633/,Establishment of a 6-signature risk model associated with cellular senescence for predicting the prognosis of breast cancer,2023
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10660189/,Deficit Accumulation Index and Biological Markers of Aging in Survivors of Childhood Cancer,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10663940/,Molecular monitoring of lung allograft health: is it ready for routine clinical use?,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10663950/,The impact of aging and oxidative stress in metabolic and nervous system disorders: programmed cell death and molecular signal transduction crosstalk,2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665130/,Hallmarks of ageing in human skeletal muscle and implications for understanding the pathophysiology of sarcopenia in women and men,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665435/,Mid-old cells are a potential target for anti-aging interventions in the elderly,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10665825/,Therapeutic potential for KCC2-targeted neurological diseases,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10666387/,A review of nitric oxide and oxidative stress in typical ovulatory women and in the pathogenesis of ovulatory dysfunction in PCOS,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10668383/,"Ectopic and visceral fat deposition in aging, obesity, and idiopathic pulmonary fibrosis: an interconnected role",2023
T7008,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10668855/,"Evolutionary Insights into the Relationship of Frogs, Salamanders, and Caecilians and Their Adaptive Traits, with an Emphasis on Salamander Regeneration and Longevity",2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10669784/,"The Combination of Radiation with PARP Inhibition Enhances Senescence and Sensitivity to the Senolytic, Navitoclax, in Triple Negative Breast Tumor Cells",2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10669844/,"Selection of Mexican Medicinal Plants by Identification of Potential Phytochemicals with Anti-Aging, Anti-Inflammatory, and Anti-Oxidant Properties through Network Analysis and Chemoinformatic Screening",2023
T9512,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10669849/,Antioxidant Properties and Geroprotective Potential of Wheat Bran Extracts with Increased Content of Anthocyanins,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10669956/,SIRT1 Prevents R-Loops during Chronological Aging by Modulating DNA Replication at rDNA Loci,2023
T2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10670210/,Age Is Just a Number: Progress and Obstacles in the Discovery of New Candidate Drugs for Sarcopenia,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10670297/,Hepatocellular Carcinoma in Non-Fibrotic Liver: A Narrative Review,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10670449/,mTOR Inhibitor Rapalink-1 Prevents Ethanol-Induced Senescence in Endothelial Cells,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10670650/,Doxorubicin-Induced Cardiac Senescence Is Alleviated Following Treatment with Combined Polyphenols and Micronutrients through Enhancement in Mitophagy,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10670892/,Examining the Role of a Functional Deficiency of Iron in Lysosomal Storage Disorders with Translational Relevance to Alzheimer’s Disease,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671276/,C-C Motif Chemokine Ligand 5 (CCL5) Promotes Irradiation-Evoked Osteoclastogenesis,2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671449/,Environmental Causes of Idiopathic Pulmonary Fibrosis,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671470/,Ageing-Related Alterations in Renal Epithelial Glucose Transport,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671501/,Topical Cellular/Tissue and Molecular Aspects Regarding Nonpharmacological Interventions in Alzheimer’s Disease—A Systematic Review,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671596/,Is Intrinsic Cardioprotection a Laboratory Phenomenon or a Clinically Relevant Tool to Salvage the Failing Heart?,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671790/,The Role of Sirtuin-1 (SIRT1) in the Physiology and Pathophysiology of the Human Placenta,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671822/,Cellular Senescence: A Troy Horse in Pulmonary Fibrosis,2023
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10672103/,Exploring the Role of Biomarkers Associated with Alveolar Damage and Dysfunction in Idiopathic Pulmonary Fibrosis—A Systematic Review,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10673256/,"Polyphenols in Inner Ear Neurobiology, Health and Disease: From Bench to Clinics",2023
T7381,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10673288/,The Longevity Protein Klotho: A Promising Tool to Monitor Lifestyle Improvements,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10673502/,The Ethanolic Extract of Lycium ruthenicum Ameliorates Age-Related Physiological Damage in Mice,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10673863/,ACS-20/FATP4 mediates the anti-ageing effect of dietary restriction in C. elegans,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10674012/,PDK4 rescues high-glucose-induced senescent fibroblasts and promotes diabetic wound healing through enhancing glycolysis and regulating YAP and JNK pathway,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10674591/,Research Progress on Natural Plant Molecules in Regulating the Blood–Brain Barrier in Alzheimer’s Disease,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10675209/,Effects of Diet Macronutrient Composition on Weight Loss during Caloric Restriction and Subsequent Weight Regain during Refeeding in Aging Mice,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10675905/,Colchicine prevents oxidative stress-induced endothelial cell senescence via blocking NF-κB and MAPKs: implications in vascular diseases,2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10676778/,Different Aspects of Aging in Migraine,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10676791/,Endothelial Senescence in Neurological Diseases,2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10676801/,Hallmarks of Skin Aging: Update,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10680220/,EZH2-H3K27me3-mediated silencing of mir-139-5p inhibits cellular senescence in hepatocellular carcinoma by activating TOP2A,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10680465/,The Role and Mechanism of Metformin in Inflammatory Diseases,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10680866/,Comprehensive Overview of Bottom-Up Proteomics using Mass Spectrometry,2023
T9826,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10681516/,Immunosenescence and cancer: Opportunities and challenges,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10682402/,Sis2 regulates yeast replicative lifespan in a dose-dependent manner,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10682449/,Local H2 release remodels senescence microenvironment for improved repair of injured bone,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10682735/,Endothelial activation and damage as a common pathological substrate in different pathologies and cell therapy complications,2023
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10683363/,Exploring the promising potential of induced pluripotent stem cells in cancer research and therapy,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10683599/,"1,5-anhydro-D-fructose induces anti-aging effects on aging-associated brain diseases by increasing 5’-adenosine monophosphate-activated protein kinase activity via the peroxisome proliferator-activated receptor-γ co-activator-1α/brain-derived neurotrophic factor pathway",2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10683603/,D-galactose causes sinoatrial node dysfunction: from phenotype to mechanism,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10683609/,Antibiotics that target mitochondria extend lifespan in C. elegans,2023
T7381,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10684707/,Advancing nutrition science to meet evolving global health needs,2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10685564/,Epigenetic age acceleration in surviving versus deceased COVID-19 patients with acute respiratory distress syndrome following hospitalization,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10685569/,IGF2 deficiency promotes liver aging through mitochondrial dysfunction and upregulated CEBPB signaling in d-galactose-induced aging mice,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10687268/,An untapped window of opportunity for glioma: targeting therapy-induced senescence prior to recurrence,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10687558/,Signaling pathways in hair aging,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10687683/,A Mobile Intervention Designed Specifically for Older Adults With Frailty to Support Healthy Eating: Pilot Randomized Controlled Trial,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10687886/,"Potential use of iPSCs for disease modeling, drug screening, and cell-based therapy for Alzheimer’s disease",2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10690130/,Communications to the International Sarcopenia Translational Research Conference 2023,2023
T9826,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10690830/,Beyond MACE: a multidimensional approach to outcomes in clinical trials for older adults with stable ischemic heart disease,2023
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10692171/,"HALD, a human aging and longevity knowledge graph for precision gerontology and geroscience analyses",2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10693113/,Impact of NAD+ metabolism on ovarian aging,2023
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10693346/,Mitochondrial dynamics and metabolism across skin cells: implications for skin homeostasis and aging,2023
T9512,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10693428/,"Polyherbal formulation PL02 alleviates pain, inflammation, and subchondral bone deterioration in an osteoarthritis rodent model",2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10694995/,Polyamines: their significance for maintaining health and contributing to diseases,2023
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10695113/,"Under pressure—exploring partner changes, physiological responses and telomere dynamics in northern gannets across varying breeding conditions",2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10695442/,Brain-derived neurotrophic factor interplay with oxidative stress: neuropathology approach in potential biomarker of Alzheimer’s disease,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10695595/,Copper neurotoxicity: Induction of cognitive dysfunction: A review,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10698029/,Early-adult methionine restriction reduces methionine sulfoxide and extends lifespan in Drosophila,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10699009/,Single-cell transcriptomic atlas of goat ovarian aging,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10699018/,Effects of foot and ankle mobilisations combined with home stretches in people with diabetic peripheral neuropathy: a proof-of-concept RCT,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10699081/,Endothelial progenitor cells systemic administration alleviates multi-organ senescence by down-regulating USP7/p300 pathway in chronic obstructive pulmonary disease,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10701459/,Oxidative stress in the eye and its role in the pathophysiology of ocular diseases,2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10702061/,Dolutegravir-induced growth and lifespan effects in Caenorhabditis elegans,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10702235/,Cellular senescence in brain aging and cognitive decline,2023
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10702973/,Metabolic and senescence characteristics associated with the immune microenvironment in ovarian cancer,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10703638/,Traditional Chinese medicine for the prevention and treatment of presbycusis,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10703872/,Nectin-4 regulates cellular senescence-associated enlargement of cell size,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705131/,Efficacy of Medical Ozone as an Adjuvant Treatment in Dogs with Intervertebral Disc Protusions—A Retrospective Study,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705308/,Metabolic Profiles of Cancer Stem Cells and Normal Stem Cells and Their Therapeutic Significance,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705408/,Modeling aging and retinal degeneration with mitochondrial DNA mutation burden,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705430/,Engineered Bacillus subtilis as oral probiotics to enhance clearance of blood lactate,2024
T9826,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705877/,"Impact of NLRP3 Depletion on Aging-Related Metaflammation, Cognitive Function, and Social Behavior in Mice",2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705954/,The Potential of Mesenchymal Stem/Stromal Cell Therapy in Mustard Keratopathy: Discovering New Roads to Combat Cellular Senescence,2023
T1455,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705974/,“Small Hepatocytes” in the Liver,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10705990/,PML Body Biogenesis: A Delicate Balance of Interactions,2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10706096/,Autophagy and Senescence: The Molecular Mechanisms and Implications in Liver Diseases,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10706187/,"Skin Barrier Function: The Interplay of Physical, Chemical, and Immunologic Properties",2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10706630/,Mechanisms of Cadmium Neurotoxicity,2023
T2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10706801/,Exploring In Vivo Models of Musculoskeletal Frailty: A Comprehensive Systematic Review,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10706910/,"Calcium’s Role and Signaling in Aging Muscle, Cellular Senescence, and Mineral Interactions",2023
T7381,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10707056/,Decelerated Epigenetic Aging in Long Livers,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10707287/,Molecular Mechanisms Associated with Aging Kidneys and Future Perspectives,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10707303/,Pathomechanisms of Diabetic Kidney Disease,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10707505/,"Zebrafish as an Emerging Model for Sarcopenia: Considerations, Current Insights, and Future Directions",2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10707997/,The Ketogenic Diet in the Prevention of Migraines in the Elderly,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10708161/,Different Effects of High-Fat/High-Sucrose and High-Fructose Diets on Advanced Glycation End-Product Accumulation and on Mitochondrial Involvement in Heart and Skeletal Muscle in Mice,2023
T5854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10708185/,Evidence for the role of selection for reproductively advantageous alleles in human aging,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10708263/,Exercise and Caloric Restriction Exert Different Benefits on Skeletal Muscle Metabolism in Aging Condition,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10708480/,The IRONy in Athletic Performance,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10708505/,The Beneficial Effects of Dietary Interventions on Gut Microbiota—An Up-to-Date Critical Review and Future Perspectives,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10708518/,NanoBubble-Mediated Oxygenation: Elucidating the Underlying Molecular Mechanisms in Hypoxia and Mitochondrial-Related Pathologies,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10709416/,A naturally occurring polyacetylene isolated from carrots promotes health and delays signatures of aging,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10709625/,Downregulation of mitochondrial metabolism is a driver for fast skeletal muscle loss during mouse aging,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10709984/,Geroprotector drugs and exercise: friends or foes on healthy longevity?,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10710422/,Senescence-associated 13-HODE production promotes age-related liver steatosis by directly inhibiting catalase activity,2023
T2620,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10711841/,Why osteoarthritis of the knee is called “a wound that does not heal” and why Tai Chi is an effective treatment,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10712426/,Association of Air Pollution with a Urinary Biomarker of Biological Aging and Effect Modification by Vitamin K in the FLEMENGHO Prospective Population Study,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10713167/,"Visualization analysis of exercise intervention on Alzheimer disease based on bibliometrics: Trends, hotspots and topics",2023
T0259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10713413/,"Chronological aging impacts abundance, function and microRNA content of extracellular vesicles produced by human epidermal keratinocytes",2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10713431/,Nectandrin B significantly increases the lifespan of Drosophila - Nectandrin B for longevity,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10714976/,The Potential of Natural Compounds Regulating Autophagy in the Treatment of Osteoporosis,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10715313/,Advantages of omics approaches for elucidating metabolic changes in diabetic peripheral neuropathy,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10715672/,Vascular aging and cardiovascular disease: pathophysiology and measurement in the coronary arteries,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10716964/,Nano biomaterials based strategies for enhanced brain targeting in the treatment of neurodegenerative diseases: an up-to-date perspective,2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10717903/,The stromal microenvironment and ovarian aging: mechanisms and therapeutic opportunities,2023
T6362,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10719307/,Network dynamical stability analysis reveals key “mallostatic” natural variables that erode homeostasis and drive age-related decline of health,2023
T7381,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10719446/,"Defusing the legal and ethical minefield of epigenetic applications in the military, defense, and security context",2023
T7395,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10719858/,Global research trends and hot spots on autophagy and kidney diseases: a bibliometric analysis from 2000 to 2022,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10721326/,Mitochondria-sequestered Aβ renders synaptic mitochondria vulnerable in the elderly with a risk of Alzheimer disease,2023
T2849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10721613/,On the benefits of the tryptophan metabolite 3-hydroxyanthranilic acid in Caenorhabditis elegans and mouse aging,2023
T7305,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10722203/,Comprehensive review on gene mutations contributing to dilated cardiomyopathy,2023
